"Million Plus Cities","Cause category","Cause Subcategory","Outcome of Incident",Count
Kota,"Traffic Control","Traffic Light Signal","Total number of Accidents",0
Kota,"Traffic Control",Uncontrolled,"Greviously Injured",22
Kota,"Traffic Control",Uncontrolled,"Minor Injury",71
Kota,"Traffic Control",Uncontrolled,"Persons Killed",7
Kota,"Traffic Control",Uncontrolled,"Total Injured",93
Kota,"Traffic Control",Uncontrolled,"Total number of Accidents",85
Lucknow,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",0
Lucknow,"Traffic Control","Flashing Signal/Blinker","Minor Injury",0
Lucknow,"Traffic Control","Flashing Signal/Blinker","Persons Killed",0
Lucknow,"Traffic Control","Flashing Signal/Blinker","Total Injured",0
Lucknow,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",0
Lucknow,"Traffic Control",Others,"Greviously Injured",126
Lucknow,"Traffic Control",Others,"Minor Injury",149
Lucknow,"Traffic Control",Others,"Persons Killed",161
Lucknow,"Traffic Control",Others,"Total Injured",275
Lucknow,"Traffic Control",Others,"Total number of Accidents",584
Lucknow,"Traffic Control","Police Controlled","Greviously Injured",0
Lucknow,"Traffic Control","Police Controlled","Minor Injury",0
Lucknow,"Traffic Control","Police Controlled","Persons Killed",0
Lucknow,"Traffic Control","Police Controlled","Total Injured",0
Lucknow,"Traffic Control","Police Controlled","Total number of Accidents",0
Lucknow,"Traffic Control","Stop Sign","Greviously Injured",0
Lucknow,"Traffic Control","Stop Sign","Minor Injury",0
Lucknow,"Traffic Control","Stop Sign","Persons Killed",0
Lucknow,"Traffic Control","Stop Sign","Total Injured",0
Lucknow,"Traffic Control","Stop Sign","Total number of Accidents",0
Lucknow,"Traffic Control","Traffic Light Signal","Greviously Injured",0
Lucknow,"Traffic Control","Traffic Light Signal","Minor Injury",0
Lucknow,"Traffic Control","Traffic Light Signal","Persons Killed",0
Lucknow,"Traffic Control","Traffic Light Signal","Total Injured",0
Lucknow,"Traffic Control","Traffic Light Signal","Total number of Accidents",0
Lucknow,"Traffic Control",Uncontrolled,"Greviously Injured",180
Lucknow,"Traffic Control",Uncontrolled,"Minor Injury",99
Lucknow,"Traffic Control",Uncontrolled,"Persons Killed",213
Lucknow,"Traffic Control",Uncontrolled,"Total Injured",279
Lucknow,"Traffic Control",Uncontrolled,"Total number of Accidents",362
Ludhiana,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",20
Ludhiana,"Traffic Control","Flashing Signal/Blinker","Minor Injury",3
Ludhiana,"Traffic Control","Flashing Signal/Blinker","Persons Killed",40
Ludhiana,"Traffic Control","Flashing Signal/Blinker","Total Injured",23
Ludhiana,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",46
Ludhiana,"Traffic Control",Others,"Greviously Injured",67
Ludhiana,"Traffic Control",Others,"Minor Injury",2
Ludhiana,"Traffic Control",Others,"Persons Killed",153
Ludhiana,"Traffic Control",Others,"Total Injured",69
Ludhiana,"Traffic Control",Others,"Total number of Accidents",235
Ludhiana,"Traffic Control","Police Controlled","Greviously Injured",17
Ludhiana,"Traffic Control","Police Controlled","Minor Injury",10
Ludhiana,"Traffic Control","Police Controlled","Persons Killed",25
Ludhiana,"Traffic Control","Police Controlled","Total Injured",27
Ludhiana,"Traffic Control","Police Controlled","Total number of Accidents",36
Ludhiana,"Traffic Control","Stop Sign","Greviously Injured",20
Ludhiana,"Traffic Control","Stop Sign","Minor Injury",7
Ludhiana,"Traffic Control","Stop Sign","Persons Killed",30
Ludhiana,"Traffic Control","Stop Sign","Total Injured",27
Ludhiana,"Traffic Control","Stop Sign","Total number of Accidents",49
Ludhiana,"Traffic Control","Traffic Light Signal","Greviously Injured",10
Ludhiana,"Traffic Control","Traffic Light Signal","Minor Injury",15
Ludhiana,"Traffic Control","Traffic Light Signal","Persons Killed",15
Ludhiana,"Traffic Control","Traffic Light Signal","Total Injured",25
Ludhiana,"Traffic Control","Traffic Light Signal","Total number of Accidents",25
Ludhiana,"Traffic Control",Uncontrolled,"Greviously Injured",5
Ludhiana,"Traffic Control",Uncontrolled,"Minor Injury",8
Ludhiana,"Traffic Control",Uncontrolled,"Persons Killed",20
Ludhiana,"Traffic Control",Uncontrolled,"Total Injured",13
Ludhiana,"Traffic Control",Uncontrolled,"Total number of Accidents",27
Madurai,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",0
Madurai,"Traffic Control","Flashing Signal/Blinker","Minor Injury",2
Madurai,"Traffic Control","Flashing Signal/Blinker","Persons Killed",0
Madurai,"Traffic Control","Flashing Signal/Blinker","Total Injured",2
Madurai,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",2
Madurai,"Traffic Control",Others,"Greviously Injured",80
Madurai,"Traffic Control",Others,"Minor Injury",301
Madurai,"Traffic Control",Others,"Persons Killed",69
Madurai,"Traffic Control",Others,"Total Injured",381
Madurai,"Traffic Control",Others,"Total number of Accidents",422
Madurai,"Traffic Control","Police Controlled","Greviously Injured",1
Madurai,"Traffic Control","Police Controlled","Minor Injury",5
Madurai,"Traffic Control","Police Controlled","Persons Killed",0
Madurai,"Traffic Control","Police Controlled","Total Injured",6
Madurai,"Traffic Control","Police Controlled","Total number of Accidents",6
Madurai,"Traffic Control","Stop Sign","Greviously Injured",0
Madurai,"Traffic Control","Stop Sign","Minor Injury",4
Madurai,"Traffic Control","Stop Sign","Persons Killed",3
Madurai,"Traffic Control","Stop Sign","Total Injured",4
Madurai,"Traffic Control","Stop Sign","Total number of Accidents",7
Madurai,"Traffic Control","Traffic Light Signal","Greviously Injured",13
Madurai,"Traffic Control","Traffic Light Signal","Minor Injury",15
Madurai,"Traffic Control","Traffic Light Signal","Persons Killed",1
Madurai,"Traffic Control","Traffic Light Signal","Total Injured",28
Madurai,"Traffic Control","Traffic Light Signal","Total number of Accidents",22
Madurai,"Traffic Control",Uncontrolled,"Greviously Injured",18
Madurai,"Traffic Control",Uncontrolled,"Minor Injury",60
Madurai,"Traffic Control",Uncontrolled,"Persons Killed",8
Madurai,"Traffic Control",Uncontrolled,"Total Injured",78
Madurai,"Traffic Control",Uncontrolled,"Total number of Accidents",71
Mallapuram,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",0
Mallapuram,"Traffic Control","Flashing Signal/Blinker","Minor Injury",0
Mallapuram,"Traffic Control","Flashing Signal/Blinker","Persons Killed",0
Mallapuram,"Traffic Control","Flashing Signal/Blinker","Total Injured",0
Mallapuram,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",0
Mallapuram,"Traffic Control",Others,"Greviously Injured",1185
Mallapuram,"Traffic Control",Others,"Minor Injury",379
Mallapuram,"Traffic Control",Others,"Persons Killed",211
Mallapuram,"Traffic Control",Others,"Total Injured",1564
Mallapuram,"Traffic Control",Others,"Total number of Accidents",1525
Mallapuram,"Traffic Control","Police Controlled","Greviously Injured",17
Mallapuram,"Traffic Control","Police Controlled","Minor Injury",8
Mallapuram,"Traffic Control","Police Controlled","Persons Killed",3
Mallapuram,"Traffic Control","Police Controlled","Total Injured",25
Mallapuram,"Traffic Control","Police Controlled","Total number of Accidents",27
Mallapuram,"Traffic Control","Stop Sign","Greviously Injured",2
Mallapuram,"Traffic Control","Stop Sign","Minor Injury",2
Mallapuram,"Traffic Control","Stop Sign","Persons Killed",0
Mallapuram,"Traffic Control","Stop Sign","Total Injured",4
Mallapuram,"Traffic Control","Stop Sign","Total number of Accidents",3
Mallapuram,"Traffic Control","Traffic Light Signal","Greviously Injured",3
Mallapuram,"Traffic Control","Traffic Light Signal","Minor Injury",2
Mallapuram,"Traffic Control","Traffic Light Signal","Persons Killed",0
Mallapuram,"Traffic Control","Traffic Light Signal","Total Injured",5
Mallapuram,"Traffic Control","Traffic Light Signal","Total number of Accidents",4
Mallapuram,"Traffic Control",Uncontrolled,"Greviously Injured",161
Mallapuram,"Traffic Control",Uncontrolled,"Minor Injury",69
Mallapuram,"Traffic Control",Uncontrolled,"Persons Killed",33
Mallapuram,"Traffic Control",Uncontrolled,"Total Injured",230
Mallapuram,"Traffic Control",Uncontrolled,"Total number of Accidents",225
Meerut,"Traffic Control","Flashing Signal/Blinker","Greviously Injured",0
Meerut,"Traffic Control","Flashing Signal/Blinker","Minor Injury",8
Meerut,"Traffic Control","Flashing Signal/Blinker","Persons Killed",9
Meerut,"Traffic Control","Flashing Signal/Blinker","Total Injured",8
Meerut,"Traffic Control","Flashing Signal/Blinker","Total number of Accidents",15
Meerut,"Traffic Control",Others,"Greviously Injured",24
Meerut,"Traffic Control",Others,"Minor Injury",381
Meerut,"Traffic Control",Others,"Persons Killed",287
Meerut,"Traffic Control",Others,"Total Injured",405
Meerut,"Traffic Control",Others,"Total number of Accidents",604
